term,definition,source_anchor,notes
pattern,An architectural pattern for secure system design,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: system design
penetration testing,"An authorised test of a computer network or system, designed to look for security weaknesses with the end aim of fixing them.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: pen testing; pentest; vulnerabilities | see also: pen testing; pentest; vulnerabilities
pentest,"Short for 'penetration testing,' an authorised test of a computer network or system, designed to look for security weaknesses with the end aim of fixing them.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: penetration test
people-centred security,Cyber security that focuses on the behavioural traits of the people who follow the processes put in place by organisations.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
personal data,"Information that relates to an identified or identifiable individual, such as a name or number, or information such as an IP address.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
personnel security,Protecting organisations from the risks associated with the people it employs.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
pharming,"A cyber attack where a person is misdirected to a fraudulent website, despite them entering the correct address.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
phishing,"Scam emails or text messages that contain links to websites which may contain malware, or may trick users into revealing sensitive information (such as passwords) or transferring money.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: smishing; spear-phishing; whaling; malware
physical security,"Protecting the places where people work, and the locations of systems, services and networks.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
plain text,"In cryptography, plain text refers to text that has not been encrypted (and is therefore easily readable).",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: clear text
platform,"Hardware or software environments on which applications can run. Software examples include Windows, Android and iOS. Hardware examples include PCs and Mac computers.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
platform as a service (paas),"A business model that allows developers to create and manage software applications, without having to own or maintain the physical infrastructure on which they run.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: infrastructure as a service (iaas); software as a service (saas)
powershell,"A powerful command-line tool and scripting language, often used to automate administrative and configuration tasks on Windows computers.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
protocol,"A set of rules that determine how data is handled, protected and transmitted between devices on a network.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
ransomware,"A type of malware which prevents you from accessing your device and the data stored on it, usually by encrypting your files. A criminal group will then demand a ransom in exchange for decryption.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: malware
ransomware as a service,"A business model where consumers purchase ransomware services 'off the shelf', without requiring the technical skills to develop the malware.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: raas; ransomware; malware | see also: raas; ransomware; malware
remote working,Working away from your business premises.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: home working; teleworking; byod | see also: home working; teleworking; byod
removable media,"Devices such as USB flash drives, DVDs and memory cards, that can be easily removed from a computer to increase storage capacity (or to transfer data).",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
research &amp; academia,Research & Academia and education,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: education
